frecuencia	"Medido M T1"	"Medido P T1"	"Medido M T2"	"Medido P T2"	"Medido M T3"	"Medido P T3"	"Medido M T4"	"Medido P T4"	
0	0	0	0	0	0	0	0	0
5	0	0	0	63	0	9	0	0
10	99	2	69	357	0	83	0	0
15	250	32	166	96	0	35	0	0
20	88	44	71	30	0	0	0	0
25	3	212	145	32	0	0	0	0
30	0	60	108	1	0	0	0	0
35	0	46	15	0	2	0	0	0
40	0	26	0	0	0	0	0	0
45	0	14	0	0	2	0	0	0
50	0	4	0	0	0	0	0	0
55	0	0	0	0	1	0	0	0
60	0	0	0	0	6	0	0	0
65	0	0	0	0	3	0	0	0
70	0	0	0	0	5	0	0	0
75	0	0	0	0	2	0	0	0
80	0	0	0	0	2	0	0	0
85	0	0	0	0	4	0	0	0
90	0	0	0	0	7	0	0	0
95	0	0	0	0	5	0	0	0
100	0	0	0	0	9	0	0	0
105	0	0	0	0	6	0	0	0
110	0	0	0	0	0	0	0	0
115	0	0	0	0	1	0	0	0
120	0	0	0	0	5	0	0	0
125	0	0	0	0	8	0	0	0
130	0	0	0	0	5	0	0	0
135	0	0	0	0	4	0	0	0
140	0	0	0	0	8	0	0	0
145	0	0	0	0	2	0	0	0
150	0	0	0	0	4	0	0	0
155	0	0	0	0	4	0	0	0
160	0	0	0	0	1	0	0	0
165	0	0	0	0	4	0	0	0
170	0	0	0	0	3	0	0	0
175	0	0	0	0	3	0	0	0
180	0	0	0	0	1	0	0	0
185	0	0	0	0	4	0	0	0
190	0	0	0	0	4	0	0	0
195	0	0	0	0	1	0	0	0
200	0	0	0	0	0	0	0	0
205	0	0	0	0	2	0	0	0
210	0	0	0	0	2	0	0	0
215	0	0	0	0	2	0	0	0
220	0	0	0	0	0	0	0	0
225	0	0	0	0	0	0	0	0
230	0	0	0	0	1	0	0	0
235	0	0	0	0	1	0	0	0
240	0	0	0	0	1	0	0	0
245	0	0	0	0	1	0	0	0
250	0	0	0	0	1	0	0	0
255	0	0	0	0	0	0	0	0
260	0	0	0	0	0	0	0	0
265	0	0	0	0	0	0	0	0
270	0	0	0	0	0	0	0	0
275	0	0	0	0	0	0	0	0
280	0	0	0	0	0	0	0	0
285	0	0	0	0	0	0	0	0
290	0	0	0	0	0	0	0	0
295	0	0	0	0	0	0	0	0
300	0	0	0	0	0	0	0	0
