frecuencia	"Medido M T1"	"Medido P T1"	"Medido M T2"	"Medido P T2"	"Medido M T3"	"Medido P T3"	"Medido M T4"	"Medido P T4"
0	0	0	0	0	0	0	0	0
5	5	1	1	56	18	3	5	3
10	97	2	126	142	1	7	0	0
15	310	9	255	24	1	6	0	0
20	46	2	100	3	0	3	0	0
25	0	3	120	0	3	1	0	0
30	0	1	72	3	26	13	0	2
35	0	1	7	36	218	151	0	454
40	0	1	0	81	171	254	454	0
45	0	5	0	141	35	31	1	0
50	0	25	0	158	2	2	0	0
55	0	57	0	35	1	0	0	0
60	0	159	0	3	0	0	0	0
65	0	116	0	0	0	0	0	0
70	0	36	0	0	0	0	0	0
75	0	17	0	0	0	0	0	0
80	0	4	0	0	0	0	0	0
85	0	0	0	0	0	0	0	0
90	0	0	0	0	0	0	0	0
95	0	0	0	0	0	0	0	0
100	0	1	0	0	0	0	0	0
105	0	7	0	0	0	0	0	0
110	0	6	0	0	0	0	0	0
115	0	2	0	0	0	0	0	0
120	0	2	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0
135	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0
155	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0
165	0	0	0	0	0	0	0	0
170	0	0	0	0	0	0	0	0
175	0	0	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0
185	0	0	0	0	0	0	0	0
190	0	0	0	0	0	0	0	0
195	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0
205	0	0	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0
215	0	0	0	0	0	0	0	0
220	0	0	0	0	0	0	0	0
225	0	0	0	0	0	0	0	0
230	0	0	0	0	0	0	0	0
235	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0
255	0	0	0	0	0	0	0	0
260	0	0	0	0	0	0	0	0
265	0	0	0	0	0	0	0	0
270	0	0	0	0	0	0	0	0
275	0	0	0	0	0	0	0	0
280	0	0	0	0	0	0	0	0
285	0	0	0	0	0	0	0	0
290	0	0	0	0	0	0	0	0
295	0	0	0	0	0	0	0	0
300	0	0	0	0	0	0	0	0
