frecuencia	"Medido M T1"	"Medido P T1"	"Medido M T2"	"Medido P T2"	"Medido M T3"	"Medido P T3"	"Medido M T4"	"Medido P T4"
0	0	0	0	0	0	0	0	0
5	5	1	10	2	3	1	17	2
10	113	1	175	4	6	1	1	3
15	357	0	617	1	218	0	1	4
20	15	1	97	1	431	0	749	3
25	0	1	12	1	242	1	167	4
30	0	0	1	2	15	1	0	4
35	0	0	0	1	2	0	0	3
40	0	0	0	1	0	0	0	3
45	0	1	0	2	0	2	0	2
50	0	0	0	27	0	95	0	96
55	0	0	0	228	0	581	0	808
60	0	4	0	224	0	223	0	0
65	0	25	0	282	0	7	0	0
70	0	22	0	110	0	0	0	0
75	0	10	0	7	0	0	0	0
80	0	2	0	0	0	0	0	0
85	0	2	0	0	0	0	0	0
90	0	1	0	0	0	0	0	0
95	0	1	0	0	0	0	0	0
100	0	3	0	1	0	0	0	0
105	0	1	0	0	0	0	0	0
110	0	1	0	0	0	0	0	0
115	0	3	0	1	0	3	0	0
120	0	2	0	1	0	1	0	0
125	0	14	0	4	0	0	0	0
130	0	136	0	9	0	0	0	0
135	0	200	0	1	0	0	0	0
140	0	42	0	0	0	0	0	0
145	0	2	0	0	0	0	0	0
150	0	0	0	0	0	0	0	0
155	0	1	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0
165	0	0	0	0	0	0	0	0
170	0	0	0	0	0	0	0	0
175	0	0	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0
185	0	0	0	0	0	0	0	0
190	0	1	0	0	0	0	0	0
195	0	6	0	0	0	0	0	0
200	0	5	0	0	0	0	0	0
205	0	1	0	0	0	0	0	0
210	0	0	0	0	0	0	0	0
215	0	0	0	0	0	0	0	0
220	0	0	0	0	0	0	0	0
225	0	0	0	0	0	0	0	0
230	0	0	0	0	0	0	0	0
235	0	0	0	0	0	0	0	0
240	0	0	0	0	0	0	0	0
245	0	0	0	0	0	0	0	0
250	0	0	0	0	0	0	0	0
255	0	0	0	0	0	0	0	0
260	0	0	0	0	0	0	0	0
265	0	0	0	0	0	0	0	0
270	0	0	0	0	0	0	0	0
275	0	0	0	0	0	0	0	0
280	0	0	0	0	0	0	0	0
285	0	0	0	0	0	0	0	0
290	0	0	0	0	0	0	0	0
295	0	0	0	0	0	0	0	0
300	0	0	0	0	0	0	0	0
